Original Title,types,variable_index,country,date,types_recode,continent,cultural distance,distance_to_ankara
Ask 101,Rise–Fall–Rise,11,France,"April 24, 2020",0,Europe,0.6693177,0.2295492047563604
Ask 101,Rise–Fall–Rise,12,United Kingdom,"April 24, 2020",0,Europe,0.6967751,0.2524422168955692
Ask 101,Rise–Fall–Rise,13,Hong Kong,"April 24, 2020",0,Asia,0.6070375,0.6008196576520627
Ask 101,Rise–Fall–Rise,14,Hungary,"April 24, 2020",0,Europe,0.5444989,0.1137859404272508
Ask 101,Rise–Fall–Rise,15,Indonesia,"April 24, 2020",0,Asia,0.0833755,0.6296538091518518
Ask 101,Rise–Fall–Rise,16,Israel,"April 24, 2020",0,Asia,0.01,0.0612838137293157
Ask 101,Rise–Fall–Rise,17,India,"April 24, 2020",0,Asia,0.0793723,0.33051190066537
Ask 101,Rise–Fall–Rise,18,Italy,"April 24, 2020",0,Europe,0.4192803,0.1478157140319547
Ask 101,Rise–Fall–Rise,19,Japan,"April 24, 2020",0,Asia,0.6066421,0.7721366121005522
Ask 101,Rise–Fall–Rise,20,South Korea,"April 24, 2020",0,Asia,0.7258395,0.6799317781731508
Ask 101,Rise–Fall–Rise,21,Mexico,"April 24, 2020",0,North America,0.4145935,0.9646369383912728
Ask 101,Rise–Fall–Rise,22,Philippines,"April 24, 2020",0,Asia,0.1298888,0.6621582412275726
Ask 101,Rise–Fall–Rise,5,Brazil,"April 24, 2020",0,South America,0.3063638,0.7086143745052557
Ask 101,Rise–Fall–Rise,8,Ecuador,"April 24, 2020",0,South America,0.1381429,0.8549951931784503
Ask 101,Rise–Fall–Rise,9,Egypt,"April 24, 2020",0,Africa,0.3713828,0.0723007485139661
Ask 101,Rise–Fall–Rise,23,Poland,"April 24, 2020",0,Europe,0.324006,0.1233551371653434
Ask 101,Rise–Fall–Rise,24,Sweden,"April 24, 2020",0,Europe,1.0,0.1762383532841106
Ask 101,Rise–Fall–Rise,25,Singapore,"April 24, 2020",0,Asia,0.230165,0.583682754347835
Ask 101,Rise–Fall–Rise,27,Taiwan,"April 24, 2020",0,Asia,0.4713243,0.649589846721192
Ask 101,Rise–Fall–Rise,28,United States,"April 24, 2020",0,North America,0.534117,0.7936160860974052
Ask 101,Rise–Fall–Rise,29,Netherlands,"April 25, 2020",0,Europe,0.8124272,0.2210696091685343
Ask Laftan Anlamaz,Rise–Fall–Rise,2,France,"June 15, 2016",0,Europe,0.6693177,0.2295492047563604
Ask Laftan Anlamaz,Rise–Fall–Rise,6,Egypt,"November 27, 2017",0,Africa,0.3713828,0.0723007485139661
Ask Laftan Anlamaz,Rise–Fall–Rise,7,India,"November 27, 2017",0,Asia,0.0793723,0.33051190066537
Ask Laftan Anlamaz,Rise–Fall–Rise,4,United States,"June 15, 2016",0,North America,0.534117,0.7936160860974052
Ask Laftan Anlamaz,Rise–Fall–Rise,10,Poland,"January 14, 2019",0,Europe,0.324006,0.1233551371653434
Ask Laftan Anlamaz,Rise–Fall–Rise,11,Spain,"December 9, 2019",0,Europe,0.7732433,0.2640219694512341
Ask Laftan Anlamaz,Rise–Fall–Rise,12,Indonesia,"December 3, 2021",0,Asia,0.0833755,0.6296538091518518
Ask Laftan Anlamaz,Rise–Fall–Rise,14,Australia,"July 8, 2023",0,Oceania,0.7100703,1.0
Ask Laftan Anlamaz,Rise–Fall–Rise,5,United Arab Emirates,"November 27, 2017",0,Asia,0.01,0.1912597721024848
Ask Laftan Anlamaz,Rise–Fall–Rise,8,Philippines,"November 27, 2017",0,Asia,0.1298888,0.6621582412275726
Ask Laftan Anlamaz,Rise–Fall–Rise,9,South Africa,"November 27, 2017",0,Africa,0.3910609,0.5433682377844444
Ask ve Ceza,Fall–Rise,2,Bosnia and Herzegovina,"March 28, 2011",1,Europe,0.188779,0.1084733572133768
Ask ve Ceza,Fall–Rise,3,Croatia,"August 21, 2011",1,Europe,0.3995508,0.1290931496252333
Ask ve Ceza,Fall–Rise,6,Serbia,"January 8, 2013",1,Europe,0.32449,0.0962187253711724
Ask ve Ceza,Fall–Rise,7,Georgia,"April 15, 2013",1,Asia,0.0282454,0.0874535238246013
Ask ve Ceza,Fall–Rise,4,Bulgaria,"September 19, 2011",1,Europe,0.3135629,0.0716856485326808
Ask ve Ceza,Fall–Rise,10,United Arab Emirates,"September 28, 2021",1,Asia,0.01,0.1912597721024848
Ask ve Ceza,Fall–Rise,5,North Macedonia,"October 24, 2011",1,Europe,0.2345222,0.0838341372585914
Ask ve Ceza,Fall–Rise,8,Ukraine,"September 23, 2013",1,Europe,0.5116708,0.0778594822686999
Ask ve Ceza,Fall–Rise,9,Poland,"March 15, 2017",1,Europe,0.324006,0.1233551371653434
