URL,country1,date1,country2,date2,country3,date3,country4,date4,country5,date5,country6,date6,country7,date7,country8,date8,country9,date9,country10,date10,country11,date11,country12,date12,country13,date13,country14,date14,country15,date15,country16,date16,country17,date17,country18,date18,country19,date19,country20,date20,country21,date21,country22,date22,country23,date23,country24,date24,country25,date25,country26,date26,country27,date27,country28,date28,country29,date29,country30,date30,country31,date31,country32,date32,country33,date33,country34,date34,country35,date35,country36,date36,country37,date37,country38,date38,country39,date39,country40,date40,country41,date41,country42,date42,country43,date43,country44,date44,country45,date45,country46,date46
https://www.imdb.com/title/tt0421488/,Brazil,September 2022,France,"September 22, 2022",Turkey,"September 22, 2022",United Arab Emirates,"September 23, 2022",Philippines,"September 23, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.imdb.com/title/tt0421488/,France,"October 5, 2022",Turkey,"October 5, 2022",Ecuador,"October 6, 2022",Egypt,"October 6, 2022",Israel,"October 6, 2022",India,"October 6, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.imdb.com/title/tt0421488/,Turkey,"June 8, 2022",United Arab Emirates,"June 9, 2022",Indonesia,"June 9, 2022",India,"June 9, 2022",Philippines,"June 9, 2022",Singapore,"June 9, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.imdb.com/title/tt0421488/,Turkey,"June 1, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.imdb.com/title/tt0421488/,Turkey,"June 21, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.imdb.com/title/tt0421488/,Turkey,"June 27, 2022",Germany,"June 28, 2022",India,"June 28, 2022",Philippines,"June 28, 2022",South Africa,"June 28, 2022",Egypt,"July 28, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.imdb.com/title/tt0421488/,Turkey,"June 27, 2022",Germany,"June 28, 2022",India,"June 28, 2022",Philippines,"June 28, 2022",South Africa,"June 28, 2022",Egypt,"July 28, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.imdb.com/title/tt0421488/,Turkey,"June 27, 2022",Germany,"June 28, 2022",India,"June 28, 2022",Philippines,"June 28, 2022",South Africa,"June 28, 2022",Egypt,"July 28, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.imdb.com/title/tt0421488/,Turkey,"June 27, 2022",Germany,"June 28, 2022",India,"June 28, 2022",Philippines,"June 28, 2022",South Africa,"June 28, 2022",Egypt,"July 28, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.imdb.com/title/tt0421488/,Turkey,"June 27, 2022",Germany,"June 28, 2022",India,"June 28, 2022",Philippines,"June 28, 2022",South Africa,"June 28, 2022",Egypt,"July 28, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.imdb.com/title/tt0421488/,Turkey,"June 27, 2022",Germany,"June 28, 2022",India,"June 28, 2022",Philippines,"June 28, 2022",South Africa,"June 28, 2022",Egypt,"July 28, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.imdb.com/title/tt0421488/,Turkey,"June 27, 2022",Germany,"June 28, 2022",India,"June 28, 2022",Philippines,"June 28, 2022",South Africa,"June 28, 2022",Egypt,"July 28, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.imdb.com/title/tt0421488/,Turkey,"June 27, 2022",Germany,"June 28, 2022",India,"June 28, 2022",Philippines,"June 28, 2022",South Africa,"June 28, 2022",Egypt,"July 28, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.imdb.com/title/tt0421488/,Turkey,"June 27, 2022",Germany,"June 28, 2022",India,"June 28, 2022",Philippines,"June 28, 2022",South Africa,"June 28, 2022",Egypt,"July 28, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.imdb.com/title/tt0421488/,Turkey,"June 27, 2022",Germany,"June 28, 2022",India,"June 28, 2022",Philippines,"June 28, 2022",South Africa,"June 28, 2022",Egypt,"July 28, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.imdb.com/title/tt0421488/,Turkey,"June 27, 2022",Germany,"June 28, 2022",India,"June 28, 2022",Philippines,"June 28, 2022",South Africa,"June 28, 2022",Egypt,"July 28, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.imdb.com/title/tt0421488/,Turkey,"June 27, 2022",Germany,"June 28, 2022",India,"June 28, 2022",Philippines,"June 28, 2022",South Africa,"June 28, 2022",Egypt,"July 28, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.imdb.com/title/tt0421488/,Turkey,"June 27, 2022",Germany,"June 28, 2022",India,"June 28, 2022",Philippines,"June 28, 2022",South Africa,"June 28, 2022",Egypt,"July 28, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.imdb.com/title/tt0421488/,Turkey,"June 27, 2022",Germany,"June 28, 2022",India,"June 28, 2022",Philippines,"June 28, 2022",South Africa,"June 28, 2022",Egypt,"July 28, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.imdb.com/title/tt0421488/,Turkey,"June 27, 2022",Germany,"June 28, 2022",India,"June 28, 2022",Philippines,"June 28, 2022",South Africa,"June 28, 2022",Egypt,"July 28, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.imdb.com/title/tt0421488/,Turkey,"June 27, 2022",Germany,"June 28, 2022",India,"June 28, 2022",Philippines,"June 28, 2022",South Africa,"June 28, 2022",Egypt,"July 28, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.imdb.com/title/tt0421488/,Turkey,"June 27, 2022",Germany,"June 28, 2022",India,"June 28, 2022",Philippines,"June 28, 2022",South Africa,"June 28, 2022",Egypt,"July 28, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.imdb.com/title/tt0421488/,Turkey,"June 27, 2022",Germany,"June 28, 2022",India,"June 28, 2022",Philippines,"June 28, 2022",South Africa,"June 28, 2022",Egypt,"July 28, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.imdb.com/title/tt0421488/,Turkey,"June 27, 2022",Germany,"June 28, 2022",India,"June 28, 2022",Philippines,"June 28, 2022",South Africa,"June 28, 2022",Egypt,"July 28, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
