country,number of Turkish dramas,continent,Capital City,Latitude,Longitude,Population,Capital Type,distance_to_ankara,cultural distance,rate of introduction
Iraq,1,Asia,Baghdad,33.3406,44.4009,6811955,Capital,0.0959709314636149,0.2896176,0.004132231404958678
Uruguay,1,South America,Montevideo,-34.8335,-56.1674,1736989,Capital,0.8394705486382147,0.529175,0.004132231404958678
Bolivia,1,South America,La Paz,-16.5,-68.15,1814087,Seat of Government,0.8354895501402347,0.250635,0.004132231404958678
Algeria,1,Africa,El Djazaïr  (Algiers),36.7525,3.042,2693542,Capital,0.21650280939586752,0.2221269,0.004132231404958678
Ethiopia,1,Africa,Addis Ababa,9.025,38.7469,4399674,Capital,0.22713107242483738,0.2245144,0.004132231404958678
Ghana,1,Africa,Accra,5.556,-0.1969,2439389,Capital,0.34431436367057816,0.2619096,0.004132231404958678
Kuwait,1,Asia,Al Kuwayt (Kuwait City),29.3697,47.9783,2989270,Capital,0.13316711180101098,0.1024416,0.004132231404958678
Montenegro,1,Europe,Podgorica,42.4411,19.2636,177177,Capital,0.09982046513531107,0.2271691,0.004132231404958678
Pakistan,1,Asia,Islamabad,33.7035,73.0594,1061412,Capital,0.29379332914294015,0.2619694,0.004132231404958678
Guatemala,1,North America,Ciudad de Guatemala (Guatemala City),14.6127,-90.5307,2851104,Capital,0.9095807651353728,0.4184706,0.004132231404958678
