country,year,sec,emant,sec2,emant2,dist_to_TR,std_dist_to_TR
Qatar,2010,.09570209,.26990889,.26934332,.36241357,.1967445,.4632338
Romania,2018,.31772862,.42164183,.26934332,.36241357,.0764796,.1800707
Russian,2017,.45645274,.39769903,.26934332,.36241357,.1904075,.4483133
Rwanda,2012,.35213834,.31039131,.26934332,.36241357,.0977821,.2302273
Saudi Arabia,2003,.2482257,.32805285,.26934332,.36241357,.0403313,.0949598
Serbia,2018,.3959539,.41685039,.26934332,.36241357,.1378173,.32449
Singapore,2020,.3183274,.44701097,.26934332,.36241357,.0977556,.230165
Slovakia,2017,.47227619,.48751457,.26934332,.36241357,.2383946,.5612988
Slovenia,2017,.41925312,.61823248,.26934332,.36241357,.2965068,.6981235
South Africa,2013,.4054371,.45762272,.26934332,.36241357,.1660912,.3910609
South Korea,2018,.56385676,.45350327,.26934332,.36241357,.3082783,.7258395
Spain,2017,.47148813,.62124108,.26934332,.36241357,.3284116,.7732433
Sweden,2017,.46573845,.73899789,.26934332,.36241357,.4247197,1
Switzerland,2017,.44709175,.64568578,.26934332,.36241357,.3344214,.7873932
Taiwan ROC,2019,.44703167,.4546045,.26934332,.36241357,.2001807,.4713243
Tajikistan,2020,.39536346,.31104771,.26934332,.36241357,.1360865,.3204148
Tanzania,2001,.16036435,.35881141,.26934332,.36241357,.1090385,.2567305
Thailand,2018,.39909405,.42499761,.26934332,.36241357,.1440556,.3391781
Trinidad and Tobago,2010,.27588271,.39418228,.26934332,.36241357,.0324348,.0763675
Tunisia,2019,.30889085,.32760163,.26934332,.36241357,.0526866,.1240503
Turkey,2018,.26934332,.36241357,.26934332,.36241357,0,0
Uganda,2001,.25321284,.30016148,.26934332,.36241357,.064308,.1514128
Ukraine,2020,.48353093,.39915845,.26934332,.36241357,.2173166,.5116708
United Kingdom,2018,.39801318,.62891135,.26934332,.36241357,.2959341,.6967751
United States,2017,.38084731,.5599681,.26934332,.36241357,.22685,.534117
Uruguay,2011,.4122658,.53586726,.26934332,.36241357,.224751,.529175
Uzbekistan,2011,.27162831,.303167,.26934332,.36241357,.0592906,.1395994
Venezuela,2000,.29538004,.42771942,.26934332,.36241357,.0703048,.1655322
Vietnam,2020,.42350332,.40713283,.26934332,.36241357,.1605152,.377932
Yemen,2014,.2840041,.21605249,.26934332,.36241357,.1470935,.3463309
Zambia,2007,.3695696,.39937286,.26934332,.36241357,.1068237,.2515157
Zimbabwe,2020,.2318398,.31426303,.26934332,.36241357,.0610327,.1437011
