URL,Original Title,English Title,Genre,Episodes,Broadcast Network,Broadcast Start Date,Broadcast End Date,Production Company,Director,Screen Writer,Synopsis,IMDb ID from Turkish,IMDb URL from Turkish,IMDb ID From Turkish
https://www.turkishdrama.com/50m2-tv-series.html,50M2,50M2,"Comedy, Thriller",8.0,Netflix,,,BKM Film,Selcuk Aydemir,Burak Aksak,"Golge (Engin Ozturk) is a hitman who seeks answers about his parents. He does not know anything about his past. Throughout his life, he has been trying to find where he comes from and what has happened to his family.  Golge has been raised by a wealthy businessman Servet (Kursat Alniacik). He becomes a right-hand man of Servet, handles his dirty businesses, and takes the name of Golge (meaning “shadow” in Turkish) until he figures about his true identity.While searching for his identity, Golge comes across to a journalist named Adem. He goes to the journalist’s house and learns a dark truth linked to his long-time custodian Servet.",tt11617848,https://www.imdb.com/title/tt11617848/,tt11617848
https://www.turkishdrama.com/wolf-boru-tv-series.html,Börü,Wolf,"Action, Crime",6.0,Star TV,28-Feb-18,11-Apr-18,CaglarArts; Insignia Productions,"Can Emre, Cem Ozuduru","Alper Caglar, Cem Ozuduru, Emre Sirel, Cam Emre","Kaya (Serkan Cayoglu) is a young guy who is 27 years old. He comes from a wealthy family. He is well-educated urban man whose future is bright. His parents do not want Kaya to work as a police officer and risk his life on the duty.  However, Kaya is determined to serve for the country especially after the tragic death of his sister due to a terrorist attack at the night club.  Kaya graduates from Police Academy as the most successful student. After graduation, he decides to join to the special operations team composing of highly talented and brave police officers. No matter what his parents say, Kaya joins to the special operations team especially due to the sorrow of losing his sister.",tt7146600,https://www.imdb.com/title/tt7146600/,tt7146600
https://www.turkishdrama.com/my-left-side-sol-yanim-tv-series.html,Sol Yanim,My Better Half,"Drama, Romance, Youth",12.0,Star TV,26-Nov-20,17-Feb-21,BKM,Serdar Gozelekli,Melis Civelek; Ozlem Cadirci,"Serra (Ozge Yagiz) is a young girl who studies architecture at Kuzey University in Istanbul. She is a mature, responsible and beautiful young girl. She and her mother Nilgun (Esra Bezen Bilgin) live in a small shanty house and try to survive without the help of other people.  7 years ago, Serra and her family had a wealthy and happy life. However, their perfect life turned upside down when her father’s business went bankrupt. The sequence of tragedies happened after then. Her father left his family behind and disappeared. Her brother committed suicide and died. Her mother could not handle the situation and suffered from physiological problems.",tt12687768,https://www.imdb.com/title/tt12687768/,tt12687768
https://www.turkishdrama.com/victorious-mehmets-mehmetcik-kutul-amare-tv-series.html,Mehmetcik Kut’ul Amare,Victorious Mehmets,"History, Period Drama",33.0,TRT 1,18-Jan-18,31-Jan-19,Bozdag Film,"Mustafa Sevki Dogan, Kamil Aydin",Mehmet Bozdag,"The story takes place during the period of 1914-1916. During this time, Ottoman Empire is fighting against Entente Countries including Britain and France.  The Ottoman Empire has been fighting at various fronts. One of the fronts that is very challenging is Kutul Amare front located in Iraq border. Suleyman Askeri (Kaan Tasaner) looks for the most talented applicants for the troop that will fight at Kutul Amare.Mehmet (Ismail Ege Sasmaz) is an orphan guy who has been raised together with his friend Sait (Semih Erturk) by a soldier Husrev (Serdar Gokhan). Husrev is a successful soldier who has fought for his country at various wars. He has been training Mehmet and Sait in a hard way so that they could fight for Ottoman army.",,,
https://www.turkishdrama.com/a-mothers-guilt-bir-annenin-gunahi-tv-series.html,Bir Annenin Gunahi,A Mother’s Guilt,"Family Drama, Crime, Romance",5.0,Kanal D,21-Nov-20,19-Dec-20,Limon Yapim; Skala Yapim,Filiz Gulmez Pakman,Ozlem Atasoy (screenwriter for Turkish adaptation); Yesim Aslan (screenwriter for Turkish adaptation); original screenwriters are Ruby Leah Castro-Villanueva; Jaja Amarillo; Cyrus Dan Cañares; Jaymar Castro;Riccilyn Santos,"A Mother’s Guilt (Bir Annenin Gunahi) Turkish series is an adaptation of Philippine television series named Hanggang Saan.  Suna (Ozge Ozberk) is a single mother who tries to do her best to provide a decent life for her children. She has three children, Yusuf (Mert Yazicioglu), Zehra (Mina Derman) and Ali.Suna gets up before sunrise each day to go fishing and then, goes to her small restaurant where she cooks and serves fresh fish. She works so hard for her family. While she is trying to raise her children in a decent way, she also deposits a portion of her earnings every month into a mortgage plan sold by an established company.",,,
https://www.turkishdrama.com/the-great-seljuks-uyanis-buyuk-selcuklu-tv-series.html,Uyanis: Buyuk Selcuklu,The Great Seljuks: Guardians Of Justice,"Historical, Drama, Action",16.0,Trt 1,,,Akli Film,Emre Konuk,Serdar Ozonalan,"The story takes place in the 11th century.  Meliksah (Bugra Gulsoy) is a young and courageous man who is the son of Sultan Alp Arslan (Serdar Kilic). He often participates in the campaigns of his father Alp Arslan together with his vizier Nizam al-Mulk (Mehmet Ozgur). Upon the death of his father, he accedes to the throne as the new sultan of Seljuk Empire. His life changes radically after then and he remains on the throne from 1072 to his death 1092.At the same day of his father’s death, Meliksah also learns that his lover Basulu Hatun has died while giving a birth. Even though his new born son is alive, Meliksah cannot keep him for the sake of Seljuk Empire. Since the mother Basulu Haun is in exile, the baby is not considered as legitimate according to the rules. Hence, Meliksah makes a difficult decision and entrusts the guardianship of his son to his trustworthy vizier Nizam al-Mulk. He accepts not to see his son later on in order not to endanger the life of his son and the continuity of the throne.",,,
https://www.turkishdrama.com/the-teacher-ogretmen-tv-series.html,Ogretmen,The Teacher,"Psychological Mystery, Youth, Drama",9.0,Fox Tv,4-Mar-20,15-Nov-20,"Med Yapim, MF Yapim",Koray Kerimoglu,Merve Girgin,"The Teacher (Ogretmen) is a Turkish adaptation from the Japanese original series “Hiiragi’s Homeroom”.  Akif (Ilker Kaleli) is a physics teacher in a public high school in Istanbul. He seems to be silent and introverted person. After his fiancée Zeynep (Ceren Moray) falls into a coma due to an accident, he is transferred to this high school as a physics teacher. Since then, he has been working there without taking so much attention from his students and teachers at school for 6 months.After Akif starts working at this school, one of his students commit a suicide. Akif is determined to reveal the truth behind the suicide of his student Ruya.",,,
https://www.turkishdrama.com/the-red-room-kirmizi-oda-tv-series.html,Kirmizi Oda,The Red Room,"Drama, Psychological",61.0,Tv8,4-Sep-20,18-Feb-22,OGM Pictures,Cem Karci,Banu Kiremitci Bozkurt,"The Red Room (Kirmizi Oda) Turkish series is based on the real-life stories included in the novel named Inside of the Medallion (Madalyonun Ici) by Gulseren Bugdaycioglu.  Doktor Hanim (Binnur Kaya) is a successful therapist who owns a therapist clinic in Istanbul. Her office room is known as the Red Room due to the red color used as a decoration. She works together with her colleagues Doctor Piraye (Tulin Ozen), Doctor Deniz (Burak Sevinc) and Doctor Ayse (Meric Aral).",tt12687036,https://www.imdb.com/title/tt12687036/,tt12687036
https://www.turkishdrama.com/on-the-wings-of-love-sevda-kusun-kanadinda-tv-series.html,Sevda Kusun Kanadinda,On The Wings of Love,"Romance, Drama, Historical",31.0,TRT 1,29-Apr-16,28-Mar-17,Sonart Medya,Ayhan Ozen,"Oktay Berber, Mustafa Burak Dogu, Selma Haciosmanoglu, Alp Emre",On The Wings of Love (Sevda Kusun Kanadinda) is a tragic love story that takes place in 1968-1970s in Turkey.  Tumay (Deniz Baysal/Sevtap Ozaltun) is a young woman who comes from a wealthy family. She is leftist and fights against capitalism while her family supports the opposite of her ideologies. Her father Zafer (Yavuz Bingol) is a high ranking police officer and tries to keep his daughter apart from political unrest in the country.,tt6354876,https://www.imdb.com/title/tt6354876/,tt6354876
https://www.turkishdrama.com/a-woman-scorned-sadakatsiz-unfaithful-tv-series.html,Sadakatsiz,A Woman Scorned,"Drama, Romance, Thriller",60.0,Kanal D,7-Oct-20,25-May-22,Med Yapim,Neslihan Yesilyurt,"Mike Bartlett (original screenwriter), Kemal Hamamcioglu (screen writer for Turkish adaptation), Dilara Pamuk (screen writer for Turkish adaptation)","Asya (Cansu Dere) is a 37-year-old general practitioner and the associate director at the hospital in the town of Tekirdag. She has a very successful career and has a perfect life together with her husband Volkan (Caner Cindoruk) and her teenage son Ali (Alp Akar). She has left her hometown Izmir to get married to her husband. She never regrets her decision until she starts to suspect that her husband is having an affair.  Volkan seems to be a perfect family guy. He is passionate, cares for his wife and his son, and acts in a responsible and considerate manner. He runs a small architecture company and works as an architect. Even though he loves his wife, he puts himself in a difficult position due to an extramarital affair.",tt0250797,https://www.imdb.com/title/tt0250797/,tt0250797
https://www.turkishdrama.com/romance-next-door-cati-kati-ask-tv-series.html,Cati Kati Ask,Romance Next Door,"Romance, Comedy",16.0,Kanal D,9-Jul-20,24-Oct-20,Mia Yapim,Fehmi Ozturk,"Ramazan Demirli, Gokhan Temel, Ozgur Agaoglu, Seyda Delibasi","Aysen (Ezgi Senler) is a young and beautiful girl who studies fashion design. After she was abandoned by her parents when she was a little baby, she has been raised by a warm family. Even though Aysen is left alone by her birth parents, she never lacks for family love, coziness, and kindliness.  Aysen becomes the daughter of the family which consists of father Celal (Renan Bilek), mother Perihan (Tulay Gunal), grandmother Saadet (Bedia Ener), sister Suheyla (Pelin Oztekin), brother-in-law Suayip (Bulent Seyran), and brother Demir (Yigit Kirazci).The life of this warm family gets into a difficulty when they could not get 6-months rent from their penthouse and they could not pay their debt for Turkish type dumplings restaurant.",,,
https://www.turkishdrama.com/new-life-yeni-hayat-tv-series.html,Yeni Hayat,New Life,"Romance, Action",9.0,Kanal D,3-Sep-20,29-Oct-20,OJO Pictures,"Basak Soysal, Cem Ozuduru","Elif Usman, Serdar Soydan, Deniz Buyukkirli","Adem (Serkan Cayoglu) is A Special Forces soldier who is very successful at his work. He loves his job and is used to spend his time in different locations of Turkey apart from his family. Unfortunately, Adem gets seriously injured while he wants to protect his friend when they are on duty. Hence, he has nothing to do but to leave army and start a new life.  After being discharged from Special Forces, Adem starts to look for a new job in Istanbul. He is married with Nevin (Nilperi Sahinkaya) and has a happy cozy life together with his lovely daughter.Adem does not have big expectations. All he wants is to support his family in a decent way and start his own business about security guardianship. Even though Adem applies for different job vacancies, unfortunately, he cannot find a job just because he, as an retired maroon beret, is considered as overqualified.",tt0162222,https://www.imdb.com/title/tt0162222/,tt0162222
https://www.turkishdrama.com/nehir-baraj-dam-tv-series.html,Baraj,Nehir,"Romance, Drama",39.0,Fox Tv,17-Mar-20,11-May-21,Medyapim & N0:9 Productions,Hasan Tolga Pulat,Hasan Tolga Pulat,"Nehir (Baraj – Dam) Turkish series is a remake of Turkish movie named Dam made in 1977 starring Turkan Soray and Tarik Akan.  Nehir (Biran Damla Yilmaz) is a young and beautiful girl who uses her beauty to swindle young men. Since she was left alone by her parents and forced to survive in the streets, she has been living together with her mentor Zerrin (Sumru Yavrucuk).Zerrin and Nehir become a good business partner and work together to swindle young men. While Nehir seduces a wealthy man and makes him fall in love with her, Zerrin pretends to be Nehir’s mother.The fall guy expects to get married to Nehir and even has a wedding ceremony, but Nehir and Zerrin run away and remove their trace after they take all the wedding presents and hack the credit cards of the fall guy.",tt0263104,https://www.imdb.com/title/tt0263104/,tt0263104
https://www.turkishdrama.com/ariza-tv-series.html,Ariza,Trouble (literal title),"Romance, Action",29.0,Show Tv,13-Sep-20,11-Apr-21,O3 Media,Recai Karagoz,Ozan Aksungur,"Ariza which means “trouble”, “disturbance” and “malfunction” in Turkish corresponds to the name of the lead character Ali Riza (A.Riza = the first letter of “Ali” and the middle name of “Riza”)  Ali Riza (Tolga Saritas) is a young taxi driver who has a quiet ordinary life together with his mother, brother and two sisters.  After his father’s death, Ali Riza becomes the head of the family and starts to work hard to support his family.Ali Riza’s life turns upside down when he comes across to a beautiful young doctor Halide (Ayca Aysin Turan).",tt12735946,https://www.imdb.com/title/tt12735946/,tt12735946
https://www.turkishdrama.com/happily-ever-after-iyi-gunde-kotu-gunde-tv-series.html,Iyi Gunde Kotu Gunde,Happily Ever After,"Romance, Comedy",6.0,Star Tv,12-Sep-20,17-Oct-20,O3 Medya,Metin Balekoglu,"Pelin Karamehmetoglu, Aksel Bonfil","Leyla (Elcin Sangu) is a beautiful girl who is dumped at her wedding day. While she is dreaming to get married to her lovely boyfriend Sarp (Ozan Dolunay), she is left alone without any explanation.  Leyla does not understand why his boyfriend whom she has known from the university has left without saying a word. She cannot accept this situation and assumes that there must a reasonable explanation.After her life turns upside down at her wedding day, Leyla finds it so hard to get back into a normal life. Throughout these hard times, she gets a support from her mother Meral (Derya Alabora), her father Halil (Hakan Salinmis) and her close friend Seda (Deniz Isin).",tt11804224,https://www.imdb.com/title/tt11804224/,tt11804224
https://www.turkishdrama.com/you-knock-on-my-door-sen-cal-kapimi-tv-series.html,Sen Cal Kapimi,You Knock on My Door,"Romance, Comedy",52.0,Fox Tv,8-Jul-20,8-Sep-21,MF Yapim,Altan Donmez,Ayse Uner Kutlu,"Eda (Hande Ercel) is a young and beautiful college student. After her parents passed away when she was a little girl, she manages to survive all the hardship in her life with the guidance of her aunt.  Eda studies landscape architecture at a private university with full scholarship. When her scholarship is cut without any notification, she is dismissed from the university at her last year. Even though she is accepted for a graduate study in one of the universities in Italy, Eda’s dreams of getting a university degree and pursuing a graduate study in Italy all fly away.After then, Eda starts to work part-time at her aunt’s flower shop. She lives together with her close friend Melek (Elcin Afacan) in a cozy house and tries to continue her life all over again.",,,
https://www.turkishdrama.com/the-innocents-masumlar-apartmani-tv-series.html,Masumlar Apartmani,House of Innocent People,"Drama, Romance, Physiological",16.0,TRT 1,,,OGM Pictures,Cagri Vila Vostuvali,Deniz Madanoglu,"This Turkish drama is an adaptation of popular novel named Madalyonun Ici by Gulseren Budaycioglu.  Inci (Farah Zeynep Abdullah) is a young girl who lives together with her brother and grandfather. After her mother left them years ago, Inci suffers from reliance problem and she tries her best not to leave anyone alone.For this reason, Inci even cannot break up with her alcoholic boyfriend Uygar (Alper Saldiran).Han (Birkan Sokullu), on the other hand, is a handsome and successful businessman who lives together with his father Hikmet, and his three sisters Safiye (Ezgi Mola), Gulben (Merve Dizdar), and Neriman.",tt12694046,https://www.imdb.com/title/tt12694046/,tt12694046
https://www.turkishdrama.com/maria-and-mustafa-tv-series.html,Maria ile Mustafa,Maria and Mustafa,"Romance, Drama",3.0,ATV,,,NTC Medya,Faruk Teber,Birol Elginoz,"Maria (Jessica May) is a beautiful girl whose father is Turkish while her mother is Colombian. When she is seven years old, she leaves Turkey together with her mother and starts to live in Colombia. After then, she rarely sees her father and comes to Turkey a couple of times. Whenever she comes to Turkey, she intentionally upset her father because she believes that her father let them leave and has not done his best to keep the family together.  Years later, Maria’s father passes away all alone due to an illness and Maria returns Turkey in order to visit her father’s graveyard and sell the property inherited from her father.Maria aims to sell the property as soon as possible, return Colombia to open a restaurant with the money she gets, and work there as a cook. However, her life turns upside down when she finds true love in Cappadocia.",tt12531682,https://www.imdb.com/title/tt12531682/,tt12531682
https://www.turkishdrama.com/mr-wrong-bay-yanlis-tv-series.html,Bay Yanlis,Mr. Wrong,"Romance, Comedy",12.0,Fox Tv,,,Gold Film,Deniz Yorulmazer,"Asli Zengin, Banu Zengin","Ezgi (Ozge Gurel) is a beautiful girl who works as a public relations specialist. She is tired of wrong relations and does not understand where she does wrong. Even though she devotes her life for her boyfriend, she ends up disappointment all the time.  Her latest relationship becomes a disappointment too. Ezgi organizes a surprise birthday party for her boyfriend Soner (Taygun Sungar) whom she has been dating for 3 years and expecting to get married. However, she discovers that her boyfriend has been having a love affair.Ezgi breaks up Soner but she keeps complaining about her life. She realizes that she is destined to find wrong guys. 3 months after ending her relationship, she decides to focus on her work-life and aims to become a successful career woman.",tt12453442,https://www.imdb.com/title/tt12453442/,tt12453442
https://www.turkishdrama.com/phoenix-zumruduanka-tv-series.html,Zumruduanka,Phoenix,"Drama, Romance",9.0,Fox Tv,,,Pastel Film,Serhan Sahin,"Can Sinan (1-9 episodes), Eylem Canpolat (10- episodes)",,,,
https://www.turkishdrama.com/lets-go-kalk-gidelim-tv-series.html,Kalk Gidelim,Let’s Go,"Comedy, Family",116.0,TRT 1,,,Staff Film,"Hatice Memis, Ozgur Pak, Erkan Nurhan","Baykut Badem, Hazan Toma, Oktay Berber, Cuneyt Inay","Mustafa Ali (Erkan Sever) has a wealthy life in Istanbul. He has been living in Istanbul apart from his parents who live in a small village. After graduating from university, Mustafa Ali refuses to go back to his village, leaves his fiancé in the village and starts a new life in the great city Istanbul. He gets arried to high-class society girl Nurcan (Ayca Varlier) and stops going to his village after then.  It has been 15 years since Mustafa Ali went to his village the last time. After then, he always finds excuses to visit his parents.",tt7661056,https://www.imdb.com/title/tt7661056/,tt7661056
https://www.turkishdrama.com/bread-and-butter-ekmek-teknesi-tv-series.html,Ekmek Teknesi,Bread and Butter,"Family, Comedy",106.0,"ATV (2002-2004), Show Tv (2004-2005)",16-Nov-02,13-Jun-05,"Sinegraf (2002-2004), Pana Film (2004-2005)",Metin Gunay,"Raci Sasmaz, Mehmet Turgut, Hasan Kacan, Elif Aktug, Bahadir Ozdener, Omer Lutfi Mete",Nusret (Savas Dincel) is a baker who owns a bakery shop named as Boat of Bread (Ekmek Teknesi) in a small neighborhood. He gets up too early each day to cook bread. The locals in the neighborhood have been buying bread from this bakery shop for 100 years.  Nusret lives happily with her wife and five daughters. Each girl has her own problem.Mehbare (Mehtap Bayri) is the biggest daughter who wants to get married soon. She is good at domestic responsibilities and wants to have her own family as soon as possible.,tt0421327,https://www.imdb.com/title/tt0421327/,tt0421327
https://www.turkishdrama.com/lion-family-aslan-ailem-tv-series.html,Aslan Ailem,Lion Family,"Romance, Comedy",31.0,TRT 1,28-Sep-17,20-May-18,Es Film,Basak Soysal,Ayca Mutlugil,"Lion Family is a family consisting of seven family members. Vedat (Hakan Salinmis) has been living together with his mother Hayriye (Zerrin Sumer), his wife Hatice (Benian Donmez) and his four sons in Lion Ranch for 30 years. Vedat is a farmer while his wife Hatice is a housewife who is also working in the Ranch through raising chickens and growing vegetables.  Lion Family lives happily all together in the Lion Ranch.The eldest son Gayret (Ferdi Sancar) works as a radiologist who is a cleaning addict. Due to his picky personality, he cannot manage to have a girlfriend and all his dating attempts fail.",tt7541582,https://www.imdb.com/title/tt7541582/,tt7541582
https://www.turkishdrama.com/ramo-tv-series.html,Ramo,Ramo,"Action, Drama",11.0,Show Tv,,,BKM,Yagiz Alp Akaydin,Yilmaz Sahin,"Ramo (Murat Yildirim) is a young and ambitious guy who lives in Adana. He is the leader of his family and the neighborhood known as Pumpers. They do the illegal works on behalf of Cengiz who is the boss of the underground world in Adana.  Ramo and his family smuggle gasoline oil and work under the rule of Cengiz. They live in a neighborhood which is governed by its own rules and traditions.The family is connected to each other and does everything for the safety of their loved ones. Even though they are not happy with the current situation, they do not want any dispute with their boss.Ramo makes a plan to become the leader of Adana. His war against his boss would not be easy but he is determined to get what he and his family deserves. In order to fulfill his goal, he thinks everything in detail and starts to execute his plan step by step.",tt11051886,https://www.imdb.com/title/tt11051886/,tt11051886
https://www.turkishdrama.com/the-choice-babil-tv-series.html,Babil,The Choice,"Romance, Drama",20.0,Star Tv,17-Jan-20,20-Nov-20,Ay Yapim,Uluc Bayraktar,"Nukhet Bicakci, Ozlem Yucel","Irfan (Halit Ergenc) is an idealist economy professor who is married to Eda (Nur Fettahoglu). He is a trustworthy man who does his best to be a good husband, a good father, a good teacher, and a good citizen. However, his modest life turns upside down all of a sudden.  While Irfan is about to get promoted as a dean, he is slandered by his colleague and is discharged from the faculty. After 20 years of academic career, he finds himself unemployed. Even though he applies to the court, Irfan cannot prove his innocence right away. Thus, all his bank accounts have been blocked throughout investigation until he is declared innocent at the court.",tt0449467,https://www.imdb.com/title/tt0449467/,tt0449467
https://www.turkishdrama.com/hercai-tv-series.html,Hercai,Hercai,"Romance, Drama",69.0,Atv,15-Mar-19,25-Apr-21,Mia Production,"Baris Yos, Cem Karci, Benal Tairi","Feraye Sahin, Zeynep Sirin Yalgin, Bersan Tan, Pelin Gulcan","Hercai Turkish series is adapted from Sumeyye Ezel’s novel named Hercai.  Miran Aslanbey (Akin Akinozu) is a successful businessman who is young, charismatic, and cold. He has been raised by his grandmother Azize (Ayda Aksel) after his parents died years ago. Miran has been raised with anger and vengeance towards Sadoglu family which was responsible for the death of his parents.In order to take his revenge, Miran comes to Midyat and starts to execute his plan. He starts to do business with Sadoglu family which is one of the wealthiest families in Midyat. He does his best to prove that he is a trustworthy man.",tt28297480,https://www.imdb.com/title/tt28297480/,tt28297480
